env,algo,rnn,n_episodes,n_frames,train_time,mean_return,std_return
t,sac-default,gru,310,243536,826.7914,-19.8669,0.0000
t,sac-default,gru,320,253536,860.9554,-19.7683,0.3281
t,sac-default,gru,330,262704,892.5490,-19.8669,0.0000
t,sac-default,gru,340,272704,926.7627,-19.8669,0.0000
t,sac-default,gru,350,282704,960.5717,-19.8669,0.0000
t,sac-default,gru,360,292704,993.9293,-19.8298,0.1620
t,sac-default,gru,370,302704,1027.1335,-19.6445,0.9695
t,sac-default,gru,380,312512,1059.2638,-19.8669,0.0000
t,sac-default,gru,390,321616,1089.1343,-19.8669,0.0000
t,sac-default,gru,400,331616,1122.1400,-19.8669,0.0000
t,sac-default,brc,10,1088,12.8091,-5.8118,6.5982
t,sac-default,brc,20,2336,26.4011,-4.2796,6.9789
t,sac-default,brc,30,3312,38.0669,0.1416,4.5649
t,sac-default,brc,40,5040,57.6371,0.5947,4.8888
t,sac-default,brc,50,5752,65.9371,-1.4509,4.2813
t,sac-default,brc,60,6296,71.8585,-0.7532,5.0064
t,sac-default,brc,70,6816,77.8376,-1.3045,4.9177
t,sac-default,brc,80,7536,86.9436,-0.2292,4.6373
t,sac-default,brc,90,8152,94.0685,-0.1093,4.5971
t,sac-default,brc,100,8616,99.4962,-1.7889,5.3604
t,sac-default,brc,110,9536,109.3786,-3.4016,7.8765
t,sac-default,brc,120,10992,126.2949,-6.8858,6.7998
t,sac-default,brc,130,12104,139.9667,-7.7222,3.8640
t,sac-default,brc,140,17376,204.0828,-12.3045,6.2590
t,sac-default,brc,150,22208,262.1066,-11.7771,7.9975
t,sac-default,brc,160,27648,322.6220,-15.2348,5.1472
t,sac-default,brc,170,37360,438.1030,-19.8669,0.0000
t,sac-default,brc,180,47360,554.9068,-19.8287,0.1667
t,sac-default,brc,190,57360,670.9680,-19.8669,0.0000
t,sac-default,brc,200,67360,784.9639,-19.8669,0.0000
t,sac-default,brc,210,77360,904.1635,-19.8669,0.0000
t,sac-default,brc,220,87360,1021.1688,-19.8669,0.0000
t,sac-default,brc,230,97360,1139.3275,-17.6814,5.6414
t,sac-default,brc,240,106968,1251.1671,-19.6178,1.0859
t,sac-default,brc,250,116064,1358.9079,-19.1592,3.0847
t,sac-default,brc,260,126064,1477.8246,-19.8669,0.0000
t,sac-default,brc,270,135136,1586.8741,-19.8669,0.0000
t,sac-default,brc,280,144464,1690.7466,-19.2575,2.6094
t,sac-default,brc,290,153736,1800.5479,-19.8669,0.0000
t,sac-default,brc,300,163736,1914.3258,-19.8669,0.0000
t,sac-default,brc,310,173736,2031.2202,-19.8669,0.0000
t,sac-default,brc,320,183736,2149.7361,-19.8669,0.0000
t,sac-default,brc,330,193736,2270.2766,-19.8669,0.0000
t,sac-default,brc,340,203736,2389.6655,-19.8669,0.0000
t,sac-default,brc,350,213736,2506.7286,-19.8669,0.0000
t,sac-default,brc,360,223736,2624.0951,-19.8669,0.0000
t,sac-default,brc,370,233736,2740.7312,-19.8669,0.0000
t,sac-default,brc,380,243736,2858.6120,-19.8669,0.0000
t,sac-default,brc,390,253736,2973.0331,-19.8669,0.0000
t,sac-default,brc,400,263736,3092.7390,-19.8669,0.0000
t,ddpg-default,gru,410,25856,41.1422,5.9387,4.4024
t,ddpg-default,gru,420,26176,41.8015,3.6022,4.8514
t,ddpg-default,gru,430,26528,42.4722,4.5773,4.8514
t,ddpg-default,gru,440,26848,43.0706,5.0649,4.7774
t,ddpg-default,gru,450,27168,43.6634,3.7208,4.8758
t,ddpg-default,gru,460,27488,44.2614,4.7008,4.8758
t,ddpg-default,gru,470,27808,44.8592,5.6809,4.6747
t,ddpg-default,gru,480,28128,45.4707,-3.9265,14.4137
t,ddpg-default,gru,490,28448,46.0646,-19.8615,0.0000
t,ddpg-default,gru,500,28768,46.6699,-19.8615,0.0000
t,ddpg-default,gru,510,29088,47.2584,-19.8615,0.0000
t,ddpg-default,gru,520,29408,47.8792,-19.8615,0.0000
t,ddpg-default,gru,530,29728,48.4636,-19.8615,0.0000
t,ddpg-default,gru,540,30048,49.0704,-19.8615,0.0000
t,ddpg-default,gru,550,30368,49.6698,-19.8615,0.0000
t,ddpg-default,gru,560,30688,50.2628,2.7407,4.6747
t,ddpg-default,gru,570,31008,50.8605,1.7606,4.2439
t,ddpg-default,gru,580,31328,51.4629,3.1146,4.7774
t,ddpg-default,gru,590,31648,52.0637,2.7884,4.6842
t,ddpg-default,gru,600,31968,52.7024,-19.8615,0.0000
t,ddpg-default,gru,610,32288,53.2844,-19.8615,0.0000
t,ddpg-default,gru,620,32608,53.8667,-19.8615,0.0000
t,ddpg-default,gru,630,36384,60.7922,-19.8615,0.0000
t,ddpg-default,gru,640,36704,61.3877,-19.8615,0.0000
t,ddpg-default,gru,650,37024,62.0694,-19.8615,0.0000
t,ddpg-default,gru,660,37344,62.7664,-19.8615,0.0000
t,ddpg-default,gru,670,37664,63.3443,-19.8615,0.0000
t,ddpg-default,gru,680,37984,63.9336,-19.8615,0.0000
t,ddpg-default,gru,690,38304,64.5229,-19.8615,0.0000
t,ddpg-default,gru,700,38624,65.1173,-19.8615,0.0000
t,ddpg-default,gru,710,38944,65.7159,-19.8615,0.0000
t,ddpg-default,gru,720,39264,66.2921,-19.8615,0.0000
t,ddpg-default,gru,730,39584,66.8967,-19.8615,0.0000
t,ddpg-default,gru,740,39904,67.5761,-19.8615,0.0000
t,ddpg-default,gru,750,40224,68.3165,-19.8615,0.0000
t,ddpg-default,gru,760,40544,69.0239,-19.8615,0.0000
t,ddpg-default,gru,770,40864,69.7339,-19.8615,0.0000
t,ddpg-default,gru,780,41184,70.3102,-19.8615,0.0000
t,ddpg-default,gru,790,43392,74.4718,-19.8615,0.0000
t,ddpg-default,gru,800,45984,79.8441,-19.8615,0.0000
t,ddpg-default,brc,410,15712,144.0687,3.3828,4.4541
t,ddpg-default,brc,420,15880,145.7965,3.7483,4.3190
t,ddpg-default,brc,430,16056,147.5958,3.0504,4.4991
t,ddpg-default,brc,440,16216,149.2443,1.7007,4.2918
t,ddpg-default,brc,450,16384,150.9658,-9.3601,8.5788
t,ddpg-default,brc,460,16600,153.1966,-9.0453,7.9409
t,ddpg-default,brc,470,16808,155.2600,4.4822,4.6130
t,ddpg-default,brc,480,16968,156.9515,2.8266,4.6595
t,ddpg-default,brc,490,17104,158.3762,2.9990,4.7535
t,ddpg-default,brc,500,17280,160.2060,5.5525,4.6513
t,ddpg-default,brc,510,17432,161.8396,1.6518,4.2226
t,ddpg-default,brc,520,17592,163.5158,3.1146,4.7774
t,ddpg-default,brc,530,17760,165.3173,4.5773,4.8514
t,ddpg-default,brc,540,17920,166.9017,3.6022,4.8514
t,ddpg-default,brc,550,18080,168.4640,2.9990,4.7535
t,ddpg-default,brc,560,18240,170.1266,2.0287,4.4465
t,ddpg-default,brc,570,18408,171.8241,4.5773,4.8514
t,ddpg-default,brc,580,18568,173.3604,5.5525,4.6513
t,ddpg-default,brc,590,18712,174.7591,5.0649,4.7774
t,ddpg-default,brc,600,18864,176.3041,4.5773,4.8514
t,ddpg-default,brc,610,19032,178.0582,4.5773,4.8514
t,ddpg-default,brc,620,19184,179.6628,4.0897,4.8759
t,ddpg-default,brc,630,19336,181.2476,6.0401,4.4688
t,ddpg-default,brc,640,19488,182.7788,3.1146,4.7774
t,ddpg-default,brc,650,19640,184.2499,3.1146,4.7774
t,ddpg-default,brc,660,19792,185.7079,3.6553,4.8034
t,ddpg-default,brc,670,19944,187.1581,2.6897,4.6052
t,ddpg-default,brc,680,20104,188.8376,4.7008,4.8758
t,ddpg-default,brc,690,20272,190.4831,2.2506,4.4913
t,ddpg-default,brc,700,20432,192.1689,-6.8268,14.4164
t,ddpg-default,brc,710,20592,193.8586,-6.8268,14.4164
t,ddpg-default,brc,720,21168,199.9035,-9.7246,13.8217
t,ddpg-default,brc,730,21664,204.3576,5.0649,4.7774
t,ddpg-default,brc,740,21744,205.1002,3.1146,4.7774
t,ddpg-default,brc,750,21824,205.8235,5.0649,4.7774
t,ddpg-default,brc,760,21904,206.4660,5.0649,4.7774
t,ddpg-default,brc,770,21984,207.1142,3.1146,4.7774
t,ddpg-default,brc,780,22064,207.7569,5.0649,4.7774
t,ddpg-default,brc,790,22144,208.4005,5.5525,4.6513
t,ddpg-default,brc,800,22224,209.0476,4.0897,4.8759
t,sac-default,gru,410,341616,1168.1376,-19.8669,0.0000
t,sac-default,gru,420,351616,1212.0373,-19.8669,0.0000
t,sac-default,gru,430,361616,1255.7775,-19.8669,0.0000
t,sac-default,gru,440,371616,1298.4289,-19.8669,0.0000
